antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Hitter_Types_Hitters With Good Contact', 'Ball Preference_Aggressive Fastball'})",frozenset({'events_single'}),0.023086900129701687,0.4316472114137484,0.011880674448767834,0.5146067415730337,1.1921929019014692,1.0,0.0019152783875943952,1.170911995004083,0.16501935265429363,0.026827553889409557,0.1459648511018004,0.2710653900172861
"frozenset({'Hitter_Types_Hitters With Good Contact', 'impact_archetype_Balanced Positive Arsenal (Mild Impact Gains)'})",frozenset({'events_single'}),0.11216601815823606,0.4316472114137484,0.056653696498054476,0.5050878815911194,1.1701404949121186,1.0,0.008237547544668017,1.148391335442501,0.16377134620575282,0.11629392971246007,0.12921669718565276,0.3181689407955597
"frozenset({'Ball Preference_Selective / Moderate', 'Hitter_Types_Hitters With Good Contact', 'impact_archetype_Balanced Positive Arsenal (Mild Impact Gains)'})",frozenset({'events_single'}),0.09727626459143969,0.4316472114137484,0.048197146562905316,0.49546666666666667,1.1478509615384616,1.0,0.006208118215264423,1.1264920492592196,0.14268679707508997,0.1002590114396719,0.11228845276129618,0.30356266025641027
"frozenset({'impact_archetype_Sinker Liability Pitchers (Sinker Gets Crushed)', 'Ball Preference_Selective / Moderate', 'Hitter_Types_Balanced Hitters'})",frozenset({'events_single'}),0.02448767833981842,0.4316472114137484,0.012088197146562906,0.4936440677966102,1.1436285344687092,1.0,0.0015181590771834383,1.1224373063293338,0.12874281087918812,0.02722280640261713,0.1090816437042137,0.26082443774445896
frozenset({'Hitter_Types_Hitters With Good Contact'}),frozenset({'events_single'}),0.18428015564202335,0.4316472114137484,0.09094682230869001,0.49352477477477474,1.1433521675220892,1.0,0.011402807006919105,1.1221729322169902,0.153703308842377,0.1732384622986461,0.10887175114411528,0.3521109450796951
frozenset({'impact_archetype_Sinker Aces (Elite Sinker Impact)'}),frozenset({'events_single'}),0.029364461738002594,0.4316472114137484,0.014474708171206226,0.4929328621908127,1.1419808796547974,1.0,0.0017996201473316938,1.1208629907310745,0.12808988677942545,0.03241547577553154,0.1078302983777193,0.2632332580184833
"frozenset({'impact_archetype_Sinker Aces (Elite Sinker Impact)', 'Ball Preference_Selective / Moderate'})",frozenset({'events_single'}),0.024954604409857327,0.4316472114137484,0.01224383916990921,0.49064449064449067,1.1366793938909323,1.0,0.0014722537644610654,1.115827311469335,0.12332190403356283,0.02755399883245768,0.10380397600844887,0.25950493762993765
"frozenset({'Ball Preference_Selective / Moderate', 'Hitter_Types_Hitters With Good Contact'})",frozenset({'events_single'}),0.16119325551232166,0.4316472114137484,0.07906614785992218,0.4905053105889926,1.136356954519571,1.0,0.009487528619324698,1.1155224978758584,0.14305419733221106,0.1538927597697667,0.10355909279806774,0.33683919375603477
"frozenset({'impact_archetype_Sinker Liability Pitchers (Sinker Gets Crushed)', 'Hitter_Types_Balanced Hitters'})",frozenset({'events_single'}),0.030869001297016863,0.4316472114137484,0.014682230869001297,0.4756302521008403,1.1018958063994828,1.0,0.0013577125400165858,1.0838779141308323,0.09541865603317157,0.032784986098239106,0.07738686528924661,0.2548223375888817
"frozenset({'impact_archetype_Four-Seam Aces (Elite FF Impact)', 'Ball Preference_Selective / Moderate', 'Hitter_Types_Balanced Hitters'})",frozenset({'events_single'}),0.03647211413748379,0.4316472114137484,0.016964980544747082,0.465149359886202,1.0776146528613633,1.0,0.001221894182938256,1.0626383254684437,0.07475081688853231,0.03760349586016559,0.058946043980515096,0.2522261222507933
