antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'quality_archetype_Four-Seam Aces (Elite FF Quality)', 'Swinging Tendencies_Balanced'})",frozenset({'events_walk'}),0.03901426718547341,0.23813229571984434,0.011361867704280156,0.2912234042553192,1.222947955778056,1.0,0.002071310693575983,1.074905278834291,0.18970491332878278,0.042748389615459695,0.06968546932388678,0.16946791127798638
"frozenset({'quality_archetype_League-Average Pitch Quality', 'Swinging Tendencies_Balanced'})",frozenset({'events_walk'}),0.15491569390402074,0.23813229571984434,0.04477302204928664,0.28901540522438046,1.213675802984735,1.0,0.007882592216889486,1.0715671055019051,0.20833038411707094,0.12855653210189183,0.06678732963567816,0.23851641720914013
"frozenset({'quality_archetype_Weak Fastball Group (Bad FF)', 'Swinging Tendencies_Balanced'})",frozenset({'events_walk'}),0.054734111543450065,0.23813229571984434,0.015460440985732814,0.2824644549763033,1.1861660936096396,1.0,0.002426481349705016,1.0617839207603226,0.16603555352551583,0.055732186272676267,0.05818878921813049,0.17369410112649586
"frozenset({'quality_archetype_League-Average Pitch Quality', 'Swinging Tendencies_Balanced'})",frozenset({'events_home_run'}),0.15491569390402074,0.1035538261997406,0.018832684824902725,0.1215673141326189,1.1739528957446037,1.0,0.0027905719827535473,1.0205063953364752,0.17533998082499874,0.07858843905607275,0.02009433299995539,0.15171552079376438
frozenset({'Swinging Tendencies_Balanced'}),frozenset({'events_walk'}),0.3694422827496757,0.23813229571984434,0.10267185473411154,0.27791040584187615,1.1670420637477479,1.0,0.01469571580695142,1.0550874994513786,0.22699405964370195,0.20334977394163584,0.05221130899572102,0.3545325449688684
"frozenset({'quality_archetype_Fastball Generalists (Good FF + Good SI)', 'Swinging Tendencies_Aggressive'})",frozenset({'events_single'}),0.027911802853437095,0.4316472114137484,0.014059662775616082,0.5037174721189591,1.1669656580640548,1.0,0.0020116109083996546,1.1452202256906494,0.14718495106176435,0.031559333876790496,0.12680550206234018,0.26814479375178724
"frozenset({'quality_archetype_Weak Fastball Group (Bad FF)', 'Swinging Tendencies_Selective'})",frozenset({'events_walk'}),0.04373540856031129,0.23813229571984434,0.012036316472114138,0.2752075919335706,1.1556920118779026,1.0,0.0016215032274018784,1.0511529864290854,0.14087896237428163,0.04460680638338781,0.048663693191663145,0.1628761271214694
frozenset({'Swinging Tendencies_Balanced'}),frozenset({'events_home_run'}),0.3694422827496757,0.1035538261997406,0.043683527885862515,0.11824181996910547,1.141839218389032,1.0,0.0054263659471671735,1.0166576212186091,0.19700013719421042,0.10175226586102717,0.016384691238179754,0.2700427536719275
frozenset({'quality_archetype_Slider Aces (Elite SL)'}),frozenset({'events_walk'}),0.04856031128404669,0.23813229571984434,0.013022049286640726,0.26816239316239315,1.1261067817440367,1.0,0.0014582708797004247,1.0410338265784316,0.11770030950954895,0.047582938388625595,0.03941642003439757,0.1614232445114798
"frozenset({'quality_archetype_Fastball Generalists (Good FF + Good SI)', 'Swinging Tendencies_Selective'})",frozenset({'events_single'}),0.022204928664072632,0.4316472114137484,0.01079118028534371,0.48598130841121495,1.125876168224299,1.0,0.001206484747855549,1.1057045159768897,0.11434180506181361,0.024355971896955503,0.09559924414661504,0.25549065420560746
