antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,ante_len
"frozenset({'batter_arch_Power Hitters', 'matchup_RvsR', 'count_bucket_even', 'pitcher_arch_FF Liability Pitchers (Bad Fastball Impact)'})",frozenset({'outcome_home_run'}),0.006809831983152199,0.04138164266059982,0.0007224878176256283,0.10609480812641083,2.56381335551538,1.0,0.0004406857839201002,1.0723937684377634,0.6141381842610492,0.015220207253886007,0.06750670375791606,0.06177697315681611,4
"frozenset({'matchup_LvsR', 'pitcher_arch_Balanced Positive Arsenal (Mild Impact Gains)', 'batter_arch_Power Hitters', 'count_bucket_even'})",frozenset({'outcome_home_run'}),0.008577621324151076,0.04138164266059982,0.0008454644674342459,0.0985663082437276,2.3818848626222926,1.0,0.000490508406920285,1.0634374620186586,0.5851839113673364,0.01721439749608764,0.059653213549802145,0.059498607316514615,4
"frozenset({'pitcher_arch_Balanced Positive Arsenal (Mild Impact Gains)', 'batter_arch_Power Hitters', 'count_bucket_even', 'matchup_RvsL'})",frozenset({'outcome_home_run'}),0.006932808632960817,0.04138164266059982,0.0006456274114952424,0.09312638580931264,2.250427479960332,1.0,0.0003587364020117363,1.0570583842544485,0.5595190182819049,0.013544018058690745,0.05397846051303242,0.05436408443511694,4
"frozenset({'batter_arch_Power Hitters', 'pitcher_arch_Balanced Positive Arsenal (Mild Impact Gains)', 'matchup_RvsR', 'count_bucket_even'})",frozenset({'outcome_home_run'}),0.014280663459025717,0.04138164266059982,0.0012297664980861758,0.08611410118406888,2.0809734860056586,1.0,0.0006388091858684882,1.0489475311758572,0.5269813174474455,0.02259248799774075,0.04666346954550493,0.057915891602435626,4
"frozenset({'batter_arch_Balanced Hitters', 'pitcher_arch_Balanced Positive Arsenal (Mild Impact Gains)', 'count_bucket_even', 'matchup_RvsL'})",frozenset({'outcome_home_run'}),0.01777012589734524,0.04138164266059982,0.001460347716477334,0.08217993079584776,1.985903060201443,1.0,0.0007249907165595224,1.0444512922566886,0.5054323446533607,0.025313082867039705,0.042559468867758445,0.05873483909777529,4
"frozenset({'matchup_LvsR', 'pitcher_arch_Four-Seam Aces (Elite FF Impact)', 'batter_arch_Balanced Hitters', 'count_bucket_even'})",frozenset({'outcome_home_run'}),0.00926936497932455,0.04138164266059982,0.0007071157363995512,0.07628524046434494,1.8434560727812153,1.0,0.0003235341871344644,1.0377861211412178,0.46182143218538135,0.014158202523853494,0.03641031651075242,0.04668645381315315,4
"frozenset({'matchup_LvsR', 'batter_arch_Balanced Hitters', 'pitcher_arch_Balanced Positive Arsenal (Mild Impact Gains)', 'count_bucket_even'})",frozenset({'outcome_home_run'}),0.024995004073601525,0.04138164266059982,0.001783161422224955,0.07134071340713406,1.7239700703099152,1.0,0.0007488270953509399,1.0322605622740826,0.4307091019108038,0.027605901951451687,0.03125234408162621,0.057215676168648755,4
"frozenset({'batter_arch_Balanced Hitters', 'matchup_RvsR', 'count_bucket_even', 'pitcher_arch_FF Liability Pitchers (Bad Fastball Impact)'})",frozenset({'outcome_home_run'}),0.01454198883986903,0.04138164266059982,0.001014557360921095,0.0697674418604651,1.6859514841563283,1.0,0.0004127859751752042,1.0305147341398553,0.41286702960155136,0.018477043673012318,0.029611157539950226,0.04714226476381353,4
"frozenset({'matchup_LvsR', 'batter_arch_Balanced Hitters', 'count_bucket_even', 'pitcher_arch_FF Liability Pitchers (Bad Fastball Impact)'})",frozenset({'outcome_home_run'}),0.011052526401549505,0.04138164266059982,0.0006763715739473967,0.061196105702364396,1.47882253501334,1.0,0.00021899987590162987,1.021106072484487,0.3274049915639122,0.013068013068013067,0.020669813894195265,0.03877041540690285,4
"frozenset({'pitcher_arch_Four-Seam Aces (Elite FF Impact)', 'batter_arch_Balanced Hitters', 'matchup_RvsR', 'count_bucket_even'})",frozenset({'outcome_home_run'}),0.011067898482775583,0.04138164266059982,0.0006763715739473967,0.06111111111111111,1.4767686148258212,1.0,0.00021836375392938258,1.0210136350360475,0.32645906314163653,0.013064133016627077,0.020581150255947,0.03872791811127621,4
"frozenset({'batter_arch_Balanced Hitters', 'pitcher_arch_Balanced Positive Arsenal (Mild Impact Gains)', 'matchup_RvsR', 'count_bucket_even'})",frozenset({'outcome_home_run'}),0.02886876854257298,0.04138164266059982,0.0015986964475120287,0.055378061767838126,1.3382277311230213,1.0,0.00040405938363170845,1.0148169532600866,0.26025630878816464,0.02328705776981639,0.014600616606263104,0.047005524197440605,4
"frozenset({'batter_arch_Hitters With Good Contact', 'matchup_LvsR', 'pitcher_arch_Balanced Positive Arsenal (Mild Impact Gains)', 'count_bucket_even'})",frozenset({'outcome_home_run'}),0.014526616758642953,0.04138164266059982,0.0007532319800777828,0.05185185185185185,1.2530157943976665,1.0,0.00015209671630413927,1.0110427987563986,0.20490199573933274,0.013656633221850612,0.010922187240719652,0.03502696604479665,4
"frozenset({'batter_arch_Hitters With Good Contact', 'pitcher_arch_Balanced Positive Arsenal (Mild Impact Gains)', 'matchup_RvsR', 'count_bucket_even'})",frozenset({'outcome_home_run'}),0.015218360413816426,0.04138164266059982,0.0006456274114952424,0.04242424242424243,1.0251947408708182,1.0,1.5866658970473037e-05,1.0010887908924115,0.024955345296259777,0.011538461538461539,0.00108760671612454,0.029013012742581838,4
