batter_arch,pitcher_arch,matchup,count_bucket,outcome
Balanced / Mixed,FF Liability Pitchers (Bad Fastball Impact),RvsL,hitter_ahead,walk
Balanced / Mixed,FF Liability Pitchers (Bad Fastball Impact),RvsL,two_strikes,double
Balanced / Mixed,FF Liability Pitchers (Bad Fastball Impact),LvsL,two_strikes,field_out
Balanced / Mixed,Balanced Positive Arsenal (Mild Impact Gains),LvsR,two_strikes,strikeout
Balanced / Mixed,Balanced Positive Arsenal (Mild Impact Gains),LvsR,two_strikes,field_out
Balanced / Mixed,Balanced Positive Arsenal (Mild Impact Gains),RvsR,two_strikes,strikeout
Balanced / Mixed,Balanced Positive Arsenal (Mild Impact Gains),LvsR,pitcher_ahead,field_out
Balanced / Mixed,Balanced Positive Arsenal (Mild Impact Gains),RvsR,two_strikes,field_out
Balanced / Mixed,Balanced Positive Arsenal (Mild Impact Gains),LvsR,full,walk
Balanced / Mixed,Balanced Positive Arsenal (Mild Impact Gains),RvsR,full,field_out
Balanced / Mixed,FF Liability Pitchers (Bad Fastball Impact),RvsL,full,walk
Balanced / Mixed,FF Liability Pitchers (Bad Fastball Impact),RvsL,hitter_ahead,walk
Balanced / Mixed,FF Liability Pitchers (Bad Fastball Impact),LvsL,two_strikes,strikeout
Balanced / Mixed,Balanced Positive Arsenal (Mild Impact Gains),LvsR,two_strikes,field_out
Balanced / Mixed,Balanced Positive Arsenal (Mild Impact Gains),LvsR,pitcher_ahead,field_out
Balanced / Mixed,Balanced Positive Arsenal (Mild Impact Gains),RvsR,pitcher_ahead,single
Balanced / Mixed,Balanced Positive Arsenal (Mild Impact Gains),LvsR,even,single
Balanced / Mixed,Balanced Positive Arsenal (Mild Impact Gains),RvsR,two_strikes,sac_fly
Balanced / Mixed,Balanced Positive Arsenal (Mild Impact Gains),LvsR,two_strikes,field_out
Balanced / Mixed,Balanced Positive Arsenal (Mild Impact Gains),RvsR,two_strikes,strikeout
Balanced / Mixed,FF Liability Pitchers (Bad Fastball Impact),RvsL,full,walk
Balanced / Mixed,Four-Seam Aces (Elite FF Impact),RvsR,two_strikes,field_out
Balanced / Mixed,Four-Seam Aces (Elite FF Impact),LvsR,hitter_ahead,intent_walk
Balanced / Mixed,Balanced Positive Arsenal (Mild Impact Gains),LvsR,two_strikes,field_out
Balanced / Mixed,Balanced Positive Arsenal (Mild Impact Gains),RvsR,even,single
Balanced / Mixed,Balanced Positive Arsenal (Mild Impact Gains),LvsR,two_strikes,field_out
Balanced / Mixed,Balanced Positive Arsenal (Mild Impact Gains),RvsR,two_strikes,field_out
Balanced / Mixed,Balanced Positive Arsenal (Mild Impact Gains),LvsR,full,walk
Balanced / Mixed,Balanced Positive Arsenal (Mild Impact Gains),RvsR,even,single
Balanced / Mixed,Balanced Positive Arsenal (Mild Impact Gains),LvsR,even,field_out
Balanced / Mixed,Balanced Positive Arsenal (Mild Impact Gains),RvsR,two_strikes,strikeout
Balanced / Mixed,Balanced Positive Arsenal (Mild Impact Gains),LvsR,two_strikes,strikeout
Balanced / Mixed,Slider Aces (Elite Slider Impact),RvsR,two_strikes,field_out
Balanced / Mixed,Sinker Aces (Elite Sinker Impact),RvsR,two_strikes,strikeout
Balanced / Mixed,Sinker Aces (Elite Sinker Impact),RvsR,two_strikes,single
Balanced / Mixed,Sinker Aces (Elite Sinker Impact),LvsR,hitter_ahead,home_run
Balanced / Mixed,Slider Aces (Elite Slider Impact),LvsR,pitcher_ahead,double
Balanced / Mixed,Slider Aces (Elite Slider Impact),LvsR,even,field_out
Balanced / Mixed,Slider Aces (Elite Slider Impact),RvsR,pitcher_ahead,triple
Balanced / Mixed,Slider Aces (Elite Slider Impact),LvsR,pitcher_ahead,field_out
