year,player_id,"last_name, first_name",HitterType2_Group,HitterType2,ClusteringStats_Group,ClusteringStats
2015,116338,"Hunter, Torii",0,Hitters With Good Contact,2,Aggressive Fastball
2015,120074,"Ortiz, David",1,Power Hitters,0,Selective / Moderate
2015,121347,"Rodriguez, Alex",2,Balanced Hitters,2,Aggressive Fastball
2015,133380,"Ramirez, Aramis",0,Hitters With Good Contact,2,Aggressive Fastball
2015,134181,"Beltré, Adrian",2,Balanced Hitters,2,Aggressive Fastball
2015,136860,"Beltrán, Carlos",2,Balanced Hitters,0,Selective / Moderate
2015,276519,"Rollins, Jimmy",0,Hitters With Good Contact,2,Aggressive Fastball
2015,405395,"Pujols, Albert",2,Balanced Hitters,2,Aggressive Fastball
2015,407781,"Byrd, Marlon",0,Hitters With Good Contact,2,Aggressive Fastball
2015,408045,"Mauer, Joe",0,Hitters With Good Contact,2,Aggressive Fastball
2015,408234,"Cabrera, Miguel",1,Power Hitters,2,Aggressive Fastball
2015,408236,"González, Adrián",2,Balanced Hitters,2,Aggressive Fastball
2015,408252,"Phillips, Brandon",0,Hitters With Good Contact,2,Aggressive Fastball
2015,408314,"Reyes, José",0,Hitters With Good Contact,2,Aggressive Fastball
2015,425509,"Peralta, Jhonny",0,Hitters With Good Contact,2,Aggressive Fastball
2015,425783,"Choo, Shin-Soo",2,Balanced Hitters,2,Aggressive Fastball
2015,425877,"Molina, Yadier",0,Hitters With Good Contact,2,Aggressive Fastball
2015,425902,"Fielder, Prince",2,Balanced Hitters,2,Aggressive Fastball
2015,429664,"Canó, Robinson",2,Balanced Hitters,2,Aggressive Fastball
2015,429665,"Encarnación, Edwin",2,Balanced Hitters,2,Aggressive Fastball
2015,429667,"Howard, Ryan",1,Power Hitters,2,Aggressive Fastball
2015,430832,"Bautista, José",1,Power Hitters,2,Aggressive Fastball
2015,430945,"Jones, Adam",2,Balanced Hitters,2,Aggressive Fastball
2015,430947,"Aybar, Erick",0,Hitters With Good Contact,0,Selective / Moderate
2015,431145,"Martin, Russell",2,Balanced Hitters,2,Aggressive Fastball
2015,434158,"Granderson, Curtis",2,Balanced Hitters,2,Aggressive Fastball
2015,434636,"Pagán, Ángel",0,Hitters With Good Contact,2,Aggressive Fastball
2015,434778,"Morales, Kendrys",2,Balanced Hitters,0,Selective / Moderate
2015,435079,"Kinsler, Ian",0,Hitters With Good Contact,2,Aggressive Fastball
2015,435263,"McCann, Brian",0,Hitters With Good Contact,0,Selective / Moderate
2015,435522,"Walker, Neil",0,Hitters With Good Contact,0,Selective / Moderate
2015,435622,"Desmond, Ian",2,Balanced Hitters,2,Aggressive Fastball
2015,443558,"Cruz, Nelson",1,Power Hitters,2,Aggressive Fastball
2015,444432,"Trumbo, Mark",1,Power Hitters,2,Aggressive Fastball
2015,444482,"Peralta, David",2,Balanced Hitters,2,Aggressive Fastball
2015,444876,"Escobar, Alcides",0,Hitters With Good Contact,2,Aggressive Fastball
2015,445988,"Prado, Martín",0,Hitters With Good Contact,2,Aggressive Fastball
2015,446263,"Duda, Lucas",1,Power Hitters,0,Selective / Moderate
2015,446334,"Longoria, Evan",2,Balanced Hitters,0,Selective / Moderate
2015,448801,"Davis, Chris",1,Power Hitters,2,Aggressive Fastball
2015,450314,"Zobrist, Ben",0,Hitters With Good Contact,0,Selective / Moderate
2015,451594,"Fowler, Dexter",0,Hitters With Good Contact,2,Aggressive Fastball
2015,452104,"Headley, Chase",0,Hitters With Good Contact,0,Selective / Moderate
2015,452252,"Lind, Adam",2,Balanced Hitters,2,Aggressive Fastball
2015,452678,"Cabrera, Asdrúbal",0,Hitters With Good Contact,2,Aggressive Fastball
2015,453064,"Tulowitzki, Troy",2,Balanced Hitters,2,Aggressive Fastball
2015,453568,"Blackmon, Charlie",0,Hitters With Good Contact,2,Aggressive Fastball
2015,453943,"Frazier, Todd",2,Balanced Hitters,2,Aggressive Fastball
2015,455976,"Markakis, Nick",0,Hitters With Good Contact,2,Aggressive Fastball
2015,456714,"Butler, Billy",2,Balanced Hitters,2,Aggressive Fastball
2015,456715,"Cain, Lorenzo",2,Balanced Hitters,2,Aggressive Fastball
2015,457705,"McCutchen, Andrew",2,Balanced Hitters,2,Aggressive Fastball
2015,457706,"Jackson, Austin",2,Balanced Hitters,2,Aggressive Fastball
2015,457708,"Upton, Justin",2,Balanced Hitters,2,Aggressive Fastball
2015,457727,"Maybin, Cameron",0,Hitters With Good Contact,2,Aggressive Fastball
2015,457763,"Posey, Buster",2,Balanced Hitters,2,Aggressive Fastball
2015,457803,"Bruce, Jay",2,Balanced Hitters,2,Aggressive Fastball
2015,458015,"Votto, Joey",2,Balanced Hitters,2,Aggressive Fastball
2015,458085,"Coghlan, Chris",0,Hitters With Good Contact,2,Aggressive Fastball
2015,458731,"Gardner, Brett",0,Hitters With Good Contact,2,Aggressive Fastball
2015,460075,"Braun, Ryan",1,Power Hitters,2,Aggressive Fastball
2015,461235,"Moss, Brandon",2,Balanced Hitters,2,Aggressive Fastball
2015,461314,"Kemp, Matt",2,Balanced Hitters,2,Aggressive Fastball
2015,461858,"Plouffe, Trevor",2,Balanced Hitters,2,Aggressive Fastball
2015,462101,"Andrus, Elvis",0,Hitters With Good Contact,2,Aggressive Fastball
2015,465041,"Cervelli, Francisco",0,Hitters With Good Contact,2,Aggressive Fastball
2015,466320,"Cabrera, Melky",0,Hitters With Good Contact,2,Aggressive Fastball
2015,467055,"Sandoval, Pablo",0,Hitters With Good Contact,2,Aggressive Fastball
2015,467092,"Ramos, Wilson",2,Balanced Hitters,2,Aggressive Fastball
2015,467793,"Santana, Carlos",2,Balanced Hitters,0,Selective / Moderate
2015,467827,"Parra, Gerardo",0,Hitters With Good Contact,2,Aggressive Fastball
2015,471865,"González, Carlos",1,Power Hitters,2,Aggressive Fastball
2015,474832,"Belt, Brandon",2,Balanced Hitters,2,Aggressive Fastball
2015,488726,"Brantley, Michael",0,Hitters With Good Contact,2,Aggressive Fastball
2015,488862,"Escobar, Yunel",0,Hitters With Good Contact,2,Aggressive Fastball
2015,489149,"Morrison, Logan",2,Balanced Hitters,2,Aggressive Fastball
2015,493316,"Cespedes, Yoenis",1,Power Hitters,2,Aggressive Fastball
2015,493351,"Ramirez, Alexei",0,Hitters With Good Contact,2,Aggressive Fastball
