player_id,year,"last_name, first_name",kmeans_quality_cluster,quality_archetype,impact_cluster,impact_archetype
282332,2019,"Sabathia, CC",6,Weak Breaking Ball Group (Bad SL),2,Balanced Positive Arsenal (Mild Impact Gains)
425794,2019,"Wainwright, Adam",5,Sinkers Get Hit (Bad SI),2,Balanced Positive Arsenal (Mild Impact Gains)
425794,2020,"Wainwright, Adam",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
425794,2021,"Wainwright, Adam",0,Fastball Generalists (Good FF + Good SI),2,Balanced Positive Arsenal (Mild Impact Gains)
425794,2022,"Wainwright, Adam",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
425794,2023,"Wainwright, Adam",5,Sinkers Get Hit (Bad SI),1,Sinker Liability Pitchers (Sinker Gets Crushed)
425844,2019,"Greinke, Zack",2,Four-Seam Aces (Elite FF Quality),5,Four-Seam Aces (Elite FF Impact)
425844,2020,"Greinke, Zack",8,Changeup Specialists (Elite CH),0,FF Liability Pitchers (Bad Fastball Impact)
425844,2021,"Greinke, Zack",8,Changeup Specialists (Elite CH),2,Balanced Positive Arsenal (Mild Impact Gains)
425844,2022,"Greinke, Zack",3,Weak Fastball Group (Bad FF),0,FF Liability Pitchers (Bad Fastball Impact)
425844,2023,"Greinke, Zack",3,Weak Fastball Group (Bad FF),0,FF Liability Pitchers (Bad Fastball Impact)
429722,2021,"Santana, Ervin",3,Weak Fastball Group (Bad FF),0,FF Liability Pitchers (Bad Fastball Impact)
430935,2019,"Hamels, Cole",3,Weak Fastball Group (Bad FF),0,FF Liability Pitchers (Bad Fastball Impact)
433587,2019,"Hernández, Félix",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
433589,2019,"Petit, Yusmeiro",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
433589,2021,"Petit, Yusmeiro",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
434378,2019,"Verlander, Justin",7,Slider Aces (Elite SL),4,Slider Aces (Elite Slider Impact)
434378,2022,"Verlander, Justin",7,Slider Aces (Elite SL),5,Four-Seam Aces (Elite FF Impact)
434378,2023,"Verlander, Justin",7,Slider Aces (Elite SL),2,Balanced Positive Arsenal (Mild Impact Gains)
434378,2024,"Verlander, Justin",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
434378,2025,"Verlander, Justin",3,Weak Fastball Group (Bad FF),0,FF Liability Pitchers (Bad Fastball Impact)
434671,2019,"Sánchez, Aníbal",3,Weak Fastball Group (Bad FF),2,Balanced Positive Arsenal (Mild Impact Gains)
434671,2020,"Sánchez, Aníbal",3,Weak Fastball Group (Bad FF),0,FF Liability Pitchers (Bad Fastball Impact)
444468,2019,"Rondón, Héctor",2,Four-Seam Aces (Elite FF Quality),5,Four-Seam Aces (Elite FF Impact)
444468,2020,"Rondón, Héctor",1,League-Average Pitch Quality,0,FF Liability Pitchers (Bad Fastball Impact)
445213,2019,"Kintzler, Brandon",0,Fastball Generalists (Good FF + Good SI),3,Sinker Aces (Elite Sinker Impact)
445213,2020,"Kintzler, Brandon",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
445276,2019,"Jansen, Kenley",9,Cutter Aces (Elite FC),2,Balanced Positive Arsenal (Mild Impact Gains)
445276,2020,"Jansen, Kenley",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
445276,2021,"Jansen, Kenley",1,League-Average Pitch Quality,2,Balanced Positive Arsenal (Mild Impact Gains)
445276,2022,"Jansen, Kenley",9,Cutter Aces (Elite FC),2,Balanced Positive Arsenal (Mild Impact Gains)
445276,2023,"Jansen, Kenley",9,Cutter Aces (Elite FC),2,Balanced Positive Arsenal (Mild Impact Gains)
