"last_name, first_name",player_id,year,Cluster_Group,Hitter_Types,Cluster_Group,Ball Preference,Cluster_Group,Swinging Tendencies
"Hunter, Torii",116338,2015,0,Hitters With Good Contact,2,Aggressive Fastball,0,Aggressive
"Ortiz, David",120074,2015,1,Power Hitters,0,Selective / Moderate,0,Aggressive
"Rodriguez, Alex",121347,2015,2,Balanced Hitters,2,Aggressive Fastball,1,Balanced
"Ramirez, Aramis",133380,2015,0,Hitters With Good Contact,2,Aggressive Fastball,0,Aggressive
"Beltré, Adrian",134181,2015,2,Balanced Hitters,2,Aggressive Fastball,2,Selective
"Beltrán, Carlos",136860,2015,2,Balanced Hitters,0,Selective / Moderate,2,Selective
"Rollins, Jimmy",276519,2015,0,Hitters With Good Contact,2,Aggressive Fastball,2,Selective
"Pujols, Albert",405395,2015,2,Balanced Hitters,2,Aggressive Fastball,2,Selective
"Byrd, Marlon",407781,2015,0,Hitters With Good Contact,2,Aggressive Fastball,0,Aggressive
"Mauer, Joe",408045,2015,0,Hitters With Good Contact,2,Aggressive Fastball,2,Selective
"Cabrera, Miguel",408234,2015,1,Power Hitters,2,Aggressive Fastball,2,Selective
"González, Adrián",408236,2015,2,Balanced Hitters,2,Aggressive Fastball,0,Aggressive
"Phillips, Brandon",408252,2015,0,Hitters With Good Contact,2,Aggressive Fastball,0,Aggressive
"Reyes, José",408314,2015,0,Hitters With Good Contact,2,Aggressive Fastball,2,Selective
"Peralta, Jhonny",425509,2015,0,Hitters With Good Contact,2,Aggressive Fastball,0,Aggressive
"Choo, Shin-Soo",425783,2015,2,Balanced Hitters,2,Aggressive Fastball,1,Balanced
"Molina, Yadier",425877,2015,0,Hitters With Good Contact,2,Aggressive Fastball,0,Aggressive
"Fielder, Prince",425902,2015,2,Balanced Hitters,2,Aggressive Fastball,0,Aggressive
"Canó, Robinson",429664,2015,2,Balanced Hitters,2,Aggressive Fastball,0,Aggressive
"Encarnación, Edwin",429665,2015,2,Balanced Hitters,2,Aggressive Fastball,1,Balanced
"Howard, Ryan",429667,2015,1,Power Hitters,2,Aggressive Fastball,0,Aggressive
