"year","last_name, first_name","pitcher_id","team_name","team_name_abbrev","pitch_hand","avg_speed","pitches_thrown","total_pitches","pitches_per_game","pitch_per","pitch_type","pitch_type_name","pitcher_break_z","league_break_z","diff_z","rise","pitcher_break_z_induced","pitcher_break_x","league_break_x","diff_x","tail","percent_rank_diff_z","percent_rank_diff_x"
"2021","Ray, Robbie","592662","Blue Jays","TOR","L","94.8","1861","3141",19.38888888888889,0.5924864692773002,"FF","4-Seam Fastball",13.5,-14.1,0.7,"5",17.1,8.2,-7.2,1,"14",0.6776470588235294,0.6
"2021","Manaea, Sean","640455","Athletics","OAK","L","92.1","1769","2980",18.395061728395063,0.5936241610738255,"SI","Sinker",20.1,-21.8,-1.7,"-8",12.3,13.9,-14.2,-0.3,"-2",0.27800829875518673,0.37344398340248963
"2021","Mahle, Tyler","641816","Reds","CIN","R","94","1695","3196",19.728395061728396,0.5303504380475594,"FF","4-Seam Fastball",13.9,-15.1,1.2,"8",17.1,12.1,-7.8,4.3,"56",0.7788235294117647,0.9247058823529412
"2021","Gausman, Kevin","592332","Giants","SF","R","94.6","1583","3002",18.530864197530864,0.5273151232511659,"FF","4-Seam Fastball",14.2,-14.2,0,"0",16.4,10.4,-7.2,3.2,"45",0.5317647058823529,0.8305882352941176
"2021","Happ, J.A.","457918","Cardinals","STL","L","91","1443","2674",16.506172839506174,0.5396409872849663,"FF","4-Seam Fastball",16.1,-16,0,"0",17,7.9,-6.7,1.1,"17",0.5317647058823529,0.611764705882353
"2021","Pivetta, Nick","601713","Red Sox","BOS","R","94.8","1423","2745",16.944444444444443,0.5183970856102004,"FF","4-Seam Fastball",10.8,-13.2,2.4,"18",19.7,5.1,-6.2,-1.1,"-18",0.9435294117647058,0.34823529411764703
"2021","Buehler, Walker","621111","Dodgers","LAD","R","95.3","1408","3152",19.45679012345679,0.4467005076142132,"FF","4-Seam Fastball",12,-14.3,2.3,"16",18,3,-7.7,-4.7,"-61",0.9247058823529412,0.058823529411764705
"2021","Cole, Gerrit","543037","Yankees","NYY","R","97.7","1399","2969",18.32716049382716,0.4712024250589424,"FF","4-Seam Fastball",10.9,-13,2.1,"16",18,12,-8.4,3.5,"42",0.9011764705882352,0.8494117647058823
"2021","Cease, Dylan","656302","White Sox","CWS","R","96.6","1388","2957",18.253086419753085,0.4693946567467027,"FF","4-Seam Fastball",10.6,-12.8,2.3,"18",18.8,4.5,-6.9,-2.4,"-35",0.9247058823529412,0.21411764705882352
"2021","Wheeler, Zack","554430","Phillies","PHI","R","97.2","1359","3205",19.78395061728395,0.42402496099843995,"FF","4-Seam Fastball",13.1,-12.9,-0.2,"-1",15.9,7.6,-7.7,-0.1,"-1",0.48470588235294115,0.46352941176470586
